@relation accelerometer_features

@attribute fft_coef_00 numeric
@attribute fft_coef_01 numeric
@attribute fft_coef_02 numeric
@attribute fft_coef_03 numeric
@attribute fft_coef_04 numeric
@attribute fft_coef_05 numeric
@attribute fft_coef_06 numeric
@attribute fft_coef_07 numeric
@attribute fft_coef_08 numeric
@attribute fft_coef_09 numeric
@attribute fft_coef_10 numeric
@attribute fft_coef_11 numeric
@attribute fft_coef_12 numeric
@attribute fft_coef_13 numeric
@attribute fft_coef_14 numeric
@attribute fft_coef_15 numeric
@attribute fft_coef_16 numeric
@attribute fft_coef_17 numeric
@attribute fft_coef_18 numeric
@attribute fft_coef_19 numeric
@attribute fft_coef_20 numeric
@attribute fft_coef_21 numeric
@attribute fft_coef_22 numeric
@attribute fft_coef_23 numeric
@attribute fft_coef_24 numeric
@attribute fft_coef_25 numeric
@attribute fft_coef_26 numeric
@attribute fft_coef_27 numeric
@attribute fft_coef_28 numeric
@attribute fft_coef_29 numeric
@attribute fft_coef_30 numeric
@attribute fft_coef_31 numeric
@attribute fft_coef_32 numeric
@attribute fft_coef_33 numeric
@attribute fft_coef_34 numeric
@attribute fft_coef_35 numeric
@attribute fft_coef_36 numeric
@attribute fft_coef_37 numeric
@attribute fft_coef_38 numeric
@attribute fft_coef_39 numeric
@attribute fft_coef_40 numeric
@attribute fft_coef_41 numeric
@attribute fft_coef_42 numeric
@attribute fft_coef_43 numeric
@attribute fft_coef_44 numeric
@attribute fft_coef_45 numeric
@attribute fft_coef_46 numeric
@attribute fft_coef_47 numeric
@attribute fft_coef_48 numeric
@attribute fft_coef_49 numeric
@attribute fft_coef_50 numeric
@attribute fft_coef_51 numeric
@attribute fft_coef_52 numeric
@attribute fft_coef_53 numeric
@attribute fft_coef_54 numeric
@attribute fft_coef_55 numeric
@attribute fft_coef_56 numeric
@attribute fft_coef_57 numeric
@attribute fft_coef_58 numeric
@attribute fft_coef_59 numeric
@attribute fft_coef_60 numeric
@attribute fft_coef_61 numeric
@attribute fft_coef_62 numeric
@attribute fft_coef_63 numeric
@attribute max numeric
@attribute label {standing,walking,running,others}

@data
98.967107,23.719688,12.554003,15.059698,5.817814,5.891141,1.261104,3.475558,4.298605,3.710769,2.157585,2.057115,1.613304,1.535497,1.764628,1.508699,1.326273,1.315748,1.272445,1.229087,1.258647,1.203365,1.217726,1.200458,1.233828,1.166103,1.210424,1.131979,1.166294,1.18034,1.159109,1.181583,1.215746,1.181583,1.159109,1.18034,1.166294,1.131979,1.210424,1.166103,1.233828,1.200458,1.217726,1.203365,1.258647,1.229087,1.272445,1.315748,1.326273,1.508699,1.764628,1.535497,1.613304,2.057115,2.157585,3.710769,4.298605,3.475558,1.261104,5.891141,5.817814,15.059698,12.554003,23.719688,3.230719,walking
198.124461,58.550282,37.016797,0.468002,15.777471,7.758065,4.497318,1.573292,3.036016,0.989376,1.852036,0.347837,0.702458,1.540482,2.005126,2.049384,1.69517,1.427386,0.901348,0.706848,0.610049,0.220151,0.395334,0.457839,0.392644,0.487676,0.481288,0.55447,0.495471,0.501786,0.460823,0.565732,0.528086,0.565732,0.460823,0.501786,0.495471,0.55447,0.481288,0.487676,0.392644,0.457839,0.395334,0.220151,0.610049,0.706848,0.901348,1.427386,1.69517,2.049384,2.005126,1.540482,0.702458,0.347837,1.852036,0.989376,3.036016,1.573292,4.497318,7.758065,15.777471,0.468002,37.016797,58.550282,5.75856,walking
199.117509,63.532504,2.680764,21.433983,7.413452,8.484275,12.882628,2.121767,7.108627,8.747628,5.796603,3.545937,6.737821,5.114559,0.81137,3.633868,4.114685,2.060579,1.039701,3.424846,3.226481,0.899181,1.939439,3.025423,1.901902,0.526067,2.522215,2.565139,0.929589,1.240755,2.519451,1.939042,0.121495,1.939042,2.519451,1.240755,0.929589,2.565139,2.522215,0.526067,1.901902,3.025423,1.939439,0.899181,3.226481,3.424846,1.039701,2.060579,4.114685,3.633868,0.81137,5.114559,6.737821,3.545937,5.796603,8.747628,7.108627,2.121767,12.882628,8.484275,7.413452,21.433983,2.680764,63.532504,5.230706,walking
278.453455,48.19716,7.075972,7.184879,9.78265,13.104322,7.512729,3.444486,3.181884,2.488562,1.517761,1.424623,0.728173,0.54491,0.598929,0.595689,0.51548,0.508284,0.658994,0.620064,0.549326,0.419128,0.495829,0.431876,0.389853,0.500565,0.513848,0.596952,0.579306,0.486033,0.504756,0.490285,0.521661,0.490285,0.504756,0.486033,0.579306,0.596952,0.513848,0.500565,0.389853,0.431876,0.495829,0.419128,0.549326,0.620064,0.658994,0.508284,0.51548,0.595689,0.598929,0.54491,0.728173,1.424623,1.517761,2.488562,3.181884,3.444486,7.512729,13.104322,9.78265,7.184879,7.075972,48.19716,6.402528,walking
243.754022,74.529503,24.071837,53.891269,40.894244,39.394428,32.123151,22.623573,26.646201,24.338174,18.344135,16.771896,12.638792,8.014079,6.391992,6.917366,4.637265,2.821511,3.22358,3.841409,3.364508,1.628385,1.333599,2.949273,1.998564,0.135526,1.064857,0.944811,0.927503,0.952534,0.687994,1.220892,1.148616,1.220892,0.687994,0.952534,0.927503,0.944811,1.064857,0.135526,1.998564,2.949273,1.333599,1.628385,3.364508,3.841409,3.22358,2.821511,4.637265,6.917366,6.391992,8.014079,12.638792,16.771896,18.344135,24.338174,26.646201,22.623573,32.123151,39.394428,40.894244,53.891269,24.071837,74.529503,15.945476,walking
219.189079,28.948216,24.399479,21.584923,18.185117,9.784365,13.751529,3.322119,4.137304,4.615323,1.834446,3.24443,2.066033,2.96657,0.816356,1.878139,1.761873,2.304965,1.16604,1.158366,2.110137,1.368543,1.628587,1.275961,1.507132,1.363364,1.455258,1.355779,1.180583,1.3639,1.184405,1.349521,0.867657,1.349521,1.184405,1.3639,1.180583,1.355779,1.455258,1.363364,1.507132,1.275961,1.628587,1.368543,2.110137,1.158366,1.16604,2.304965,1.761873,1.878139,0.816356,2.96657,2.066033,3.24443,1.834446,4.615323,4.137304,3.322119,13.751529,9.784365,18.185117,21.584923,24.399479,28.948216,5.205556,walking
483.103622,75.129516,34.708285,70.242817,39.012159,9.22436,58.717479,42.683914,22.910385,12.725138,7.500182,20.148704,13.264804,9.373868,3.912355,4.039661,9.908768,5.98453,5.914365,5.236878,3.22553,4.266647,6.862356,6.420932,3.522771,2.100993,4.354575,6.089912,4.679405,3.194594,3.248989,4.081196,4.838463,4.081196,3.248989,3.194594,4.679405,6.089912,4.354575,2.100993,3.522771,6.420932,6.862356,4.266647,3.22553,5.236878,5.914365,5.98453,9.908768,4.039661,3.912355,9.373868,13.264804,20.148704,7.500182,12.725138,22.910385,42.683914,58.717479,9.22436,39.012159,70.242817,34.708285,75.129516,18.145544,walking
439.875909,118.116267,38.716954,37.790535,53.027601,58.745478,41.397724,44.161806,23.932673,16.566481,5.343304,11.732652,7.752403,7.585813,3.126984,2.217571,3.401961,2.108982,0.638583,1.39822,3.499091,1.338655,2.295274,1.01907,1.976363,0.830616,0.815846,1.465158,0.508231,0.875085,0.947353,1.485682,0.326412,1.485682,0.947353,0.875085,0.508231,1.465158,0.815846,0.830616,1.976363,1.01907,2.295274,1.338655,3.499091,1.39822,0.638583,2.108982,3.401961,2.217571,3.126984,7.585813,7.752403,11.732652,5.343304,16.566481,23.932673,44.161806,41.397724,58.745478,53.027601,37.790535,38.716954,118.116267,18.967939,walking
343.662811,46.14608,10.738374,23.581924,15.832862,28.948226,12.307827,13.897015,11.255414,4.493414,7.992471,4.794222,3.953861,4.711309,4.074321,4.679684,4.341238,3.720034,3.781967,3.033355,2.118687,2.626396,2.591025,2.50041,2.788728,2.658315,2.58543,2.449632,2.323369,2.271114,2.416271,2.340077,2.529085,2.340077,2.416271,2.271114,2.323369,2.449632,2.58543,2.658315,2.788728,2.50041,2.591025,2.626396,2.118687,3.033355,3.781967,3.720034,4.341238,4.679684,4.074321,4.711309,3.953861,4.794222,7.992471,4.493414,11.255414,13.897015,12.307827,28.948226,15.832862,23.581924,10.738374,46.14608,8.987559,walking
366.668976,82.771183,25.556026,48.967579,32.215442,31.278661,3.638298,15.679989,5.801982,8.091453,2.874445,7.353447,3.535036,4.340707,4.357951,1.83346,4.452433,3.074146,2.986637,3.044743,1.81196,1.267582,2.680947,2.854225,2.646999,2.636482,2.633633,2.29252,1.722858,1.665833,1.673111,1.837539,1.833007,1.837539,1.673111,1.665833,1.722858,2.29252,2.633633,2.636482,2.646999,2.854225,2.680947,1.267582,1.81196,3.044743,2.986637,3.074146,4.452433,1.83346,4.357951,4.340707,3.535036,7.353447,2.874445,8.091453,5.801982,15.679989,3.638298,31.278661,32.215442,48.967579,25.556026,82.771183,9.655474,walking
